region,past_b,pres_b,fut_b,min_past,max_past,min_pres,max_pres,min_fut,max_fut
"PL",.4261202,.2383267,.3355531,.4068754,.445365,.2161734,.26048,.3159866,.3551196
"PR",.4018069,.2457896,.3524034,.3775977,.4260161,.2179532,.273626,.3279673,.3768396
"PS",.4595869,.1176348,.4227782,.4048716,.5143021,.0560816,.1791881,.3678772,.4776793
"PT",.3163233,.2352309,.4484459,.2904444,.3422021,.206103,.2643588,.4231756,.4737161
"PY",.3785536,.2592217,.3622248,.3487529,.4083543,.2249554,.293488,.3323272,.3921224
"QA",.4168801,.239981,.343139,.3884082,.445352,.2072279,.272734,.3142772,.3720007
"RO",.4255796,.2990706,.2753499,.4033013,.4478579,.2729383,.3252028,.2523033,.2983964
"RS",.3515389,.1283973,.5200638,.328351,.3747268,.1026777,.1541169,.4972609,.5428666
"RU",.554327,.0000713,.4456017,.5296926,.5789613,-.0273742,.0275168,.4209673,.4702362
"RW",.4271972,.30162,.2711828,.3603022,.4940922,.2230699,.3801701,.2018727,.3404929
"SA",.4097166,.1931564,.3971269,.3765492,.4428841,.1554965,.2308164,.3638968,.4303571
"SB",.3296313,.4965531,.1738155,.1332786,.525984,.2510022,.742104,-.0336636,.3812947
"SD",.3980124,.2390023,.3629853,.3519503,.4440746,.1861722,.2918324,.3166253,.4093452
"SE",.3219137,.3321914,.3458949,.3063664,.3374611,.3141053,.3502775,.3304407,.361349
"SG",.382467,.2601222,.3574108,.3639596,.4009744,.2388203,.281424,.3388107,.376011
"SI",.3681806,.1653193,.4665,.3474711,.3888901,.1421127,.188526,.4460503,.4869498
"SK",.3987451,.2581657,.3430891,.3740645,.4234258,.229697,.2866344,.3181351,.3680431
"SL",.4799982,.2640786,.2559232,.3938417,.5661547,.1637509,.3644063,.1658434,.346003
"SN",.50037,.2476926,.2519374,.4646137,.5361262,.2062453,.28914,.2144884,.2893864
"SO",.3518662,.3730952,.2750386,.2595134,.444219,.2630434,.483147,.1806993,.369378
"SR",.4423236,.276427,.2812494,.3968115,.4878358,.2233461,.3295079,.2341763,.3283224
"SS",.3080297,.4717447,.2202255,.2366383,.3794212,.3841333,.5593562,.1466532,.2937978
"ST",.5399291,.3270306,.1330403,.3453161,.7345421,.0952895,.5587717,-.0808054,.346886
"SV",.4405124,.2160109,.3434767,.407077,.4739479,.1776955,.2543262,.3094968,.3774566
"SY",.3455992,.0817512,.5726496,.2965786,.3946198,.0277831,.1357193,.5243246,.6209746
"SZ",.257989,.4420923,.2999187,.1402513,.3757267,.3016163,.5825683,.1837654,.4160721
"TD",.2401829,.4545572,.3052598,.1566143,.3237516,.3550745,.55404,.22348,.3870396
"TG",.3775491,.3048384,.3176125,.3102315,.4448667,.2262972,.3833796,.2493551,.3858698
"TH",.447988,.2352428,.3167692,.4087986,.4871774,.1900724,.2804133,.2766423,.356896
"TJ",.4837674,.2252344,.2909981,.4300309,.5375041,.1633467,.2871222,.2354551,.3465411
"TL",.3415104,.441818,.2166716,.2826146,.4004062,.3697395,.5138966,.1553726,.2779706
"TM",.3799097,.2023285,.4177618,.3245026,.4353168,.1395844,.2650726,.3626824,.4728411
"TN",.4183078,.2151902,.3665019,.3918816,.4447341,.1849876,.2453929,.3398471,.3931568
"TO",.5342326,.3032718,.1624957,.3786469,.6898182,.1196908,.4868528,-.0062692,.3312605
"TR",.3676448,.2561041,.3762512,.341706,.3935836,.2263695,.2858385,.3503562,.4021461
"TT",.4392186,.2478922,.3128892,.4078901,.470547,.2116804,.2841039,.2808018,.3449767
"TW",.4017494,.1529153,.4453354,.3770391,.4264596,.1251272,.1807034,.4207532,.4699175
"TZ",.4345731,.3089231,.2565038,.3813971,.4877492,.2462748,.3715714,.2010866,.311921
"UA",.5588683,.0095856,.4315461,.5358938,.5818429,-.0160019,.0351731,.4085496,.4545426
"UG",.4420114,.2773381,.2806504,.39634,.4876828,.2240575,.3306187,.2334049,.3278959
"US",.3164589,.3461536,.3373874,.2989992,.3339186,.3257667,.3665406,.3200226,.3547523
"UY",.3934325,.1937053,.4128622,.3699681,.4168969,.1671254,.2202851,.3894662,.4362583
"UZ",.4881791,.1419009,.3699199,.4327881,.5435702,.0792708,.2045311,.3138018,.4260381
"VC",.4698057,.2734103,.2567839,.4075641,.5320474,.2007495,.346071,.1917538,.3218141
"VE",.4753473,.252703,.2719497,.4528667,.4978279,.2266184,.2787875,.2485776,.2953218
"VI",.268867,.4375555,.2935775,.1820379,.3556961,.3337812,.5413299,.2074331,.3797219
"VN",.4812835,.1546089,.3641076,.4506388,.5119281,.1198848,.1893331,.333029,.3951862
"VU",.4332868,.2552529,.3114603,.3090346,.5575389,.1112417,.3992642,.1842332,.4386874
"WS",.4216218,.3542269,.2241513,.3094934,.5337502,.2199739,.48848,.1060847,.3422178
"YE",.3526881,.2124838,.4348281,.300889,.4044872,.1540041,.2709635,.3837222,.4859341
"ZA",.4467354,.2657286,.287536,.4214014,.4720695,.236269,.2951882,.2613751,.3136969
"ZM",.3694633,.3523403,.2781965,.3061899,.4327366,.2773443,.4273362,.2133813,.3430116
"ZW",.4931116,.2964917,.2103967,.4502477,.5359755,.2463049,.3466784,.1649712,.2558223
