date,hits,keyword
2009-03-05,3.7482646922721,2015
2009-03-06,5.62239703840815,2015
2009-03-07,5.83063396575659,2015
2009-03-08,5.06709856547895,2015
2009-03-09,5.90004627487275,2015
2009-03-10,3.54002776492365,2015
2009-03-11,4.23415085608515,2015
2009-03-12,4.23415085608515,2015
2009-03-13,3.0541416011106,2015
2009-03-14,4.51180009254975,2015
2009-03-15,5.90004627487275,2015
2009-03-16,4.7200370198982,2015
2009-03-17,4.37297547431745,2015
2009-03-18,4.92827394724665,2015
2009-03-19,4.5812124016659,2015
2009-03-20,4.7200370198982,2015
2009-03-21,4.23415085608515,2015
2009-03-22,2.3600185099491,2015
2009-03-23,4.23415085608515,2015
2009-03-24,4.78944932901435,2015
2009-03-25,4.3035631652013,2015
2009-03-26,4.9976862563628,2015
2009-03-27,4.23415085608515,2015
2009-03-28,2.70708005552985,2015
2009-03-29,2.98472929199445,2015
2009-03-30,3.6094400740398,2015
2009-03-31,4.78944932901435,2015
2009-04-01,5.1365108745951,2015
2009-04-02,4.5812124016659,2015
2009-04-03,3.8870893105044,2015
2009-04-04,3.26237852845905,2015
2009-04-05,2.776492364646,2015
2009-04-06,4.23415085608515,2015
2009-04-07,5.48357242017585,2015
2009-04-08,4.4423877834336,2015
2009-04-09,3.12355391022675,2015
2009-04-10,3.8870893105044,2015
2009-04-11,3.12355391022675,2015
2009-04-12,4.0259139287367,2015
2009-04-13,4.164738546969,2015
2009-04-14,5.34474780194354,2015
2009-04-15,3.0541416011106,2015
2009-04-16,4.4423877834336,2015
2009-04-17,3.95650161962055,2015
2009-04-18,4.7200370198982,2015
2009-04-19,4.5812124016659,2015
2009-04-20,5.20592318371125,2015
2009-04-21,4.5812124016659,2015
2009-04-22,5.4141601110597,2015
2009-04-23,5.4141601110597,2015
2009-04-24,4.51180009254975,2015
2009-04-25,3.67885238315595,2015
2009-04-26,4.09532623785285,2015
2009-04-27,6.03887089310504,2015
2009-04-28,4.65062471078205,2015
2009-04-29,4.0259139287367,2015
2009-04-30,5.83063396575659,2015
2009-05-01,5.34474780194354,2015
2009-05-02,3.26237852845905,2015
2009-05-03,4.65062471078205,2015
2009-05-04,5.4141601110597,2015
2009-05-05,3.7482646922721,2015
2009-05-06,5.20592318371125,2015
2009-05-07,4.7200370198982,2015
2009-05-08,4.09532623785285,2015
2009-05-09,2.0823692734845,2015
2009-05-10,5.20592318371125,2015
2009-05-11,4.92827394724665,2015
2009-05-12,4.5812124016659,2015
2009-05-13,4.7200370198982,2015
2009-05-14,3.7482646922721,2015
2009-05-15,4.164738546969,2015
2009-05-16,4.78944932901435,2015
2009-05-17,4.23415085608515,2015
2009-05-18,5.1365108745951,2015
2009-05-19,4.7200370198982,2015
2009-05-20,4.37297547431745,2015
2009-05-21,4.7200370198982,2015
2009-05-22,4.09532623785285,2015
2009-05-23,4.0259139287367,2015
2009-05-24,5.34474780194354,2015
2009-05-25,6.94123091161499,2015
2009-05-26,6.31652012956964,2015
2009-05-27,4.92827394724665,2015
2009-05-28,4.78944932901435,2015
2009-05-29,4.37297547431745,2015
2009-05-30,3.26237852845905,2015
2009-05-31,4.5812124016659,2015
2009-06-01,4.65062471078205,2015
2009-06-02,3.67885238315595,2015
2009-06-03,4.23415085608515,2015
2009-06-04,4.65062471078205,2015
2009-06-05,4.37297547431745,2015
2009-06-06,3.95650161962055,2015
2009-06-07,4.23415085608515,2015
2009-06-08,4.92827394724665,2015
2009-06-09,5.06709856547895,2015
2009-06-10,5.48357242017585,2015
2009-06-11,5.4141601110597,2015
2009-06-12,5.2753354928274,2015
2009-06-13,4.9976862563628,2015
2009-06-14,4.8588616381305,2015
2009-06-15,5.96945858398889,2015
2009-06-16,4.65062471078205,2015
2009-06-17,4.7200370198982,2015
2009-06-18,5.6918093475243,2015
2009-06-19,4.29166132342742,2015
2009-06-20,4.79656265559535,2015
2009-06-21,4.03921065734345,2015
2009-06-22,6.81616798426707,2015
2009-06-23,4.29166132342742,2015
2009-06-24,6.05881598601518,2015
2009-06-25,5.04901332167931,2015
2009-06-26,5.04901332167931,2015
2009-06-27,4.54411198951138,2015
2009-06-28,2.77695732692362,2015
2009-06-29,5.55391465384725,2015
2009-06-30,6.81616798426707,2015
2009-07-01,4.54411198951138,2015
2009-07-02,4.79656265559535,2015
2009-07-03,5.04901332167931,2015
2009-07-04,4.79656265559535,2015
2009-07-05,3.78675999125949,2015
2009-07-06,6.56371731818311,2015
2009-07-07,4.29166132342742,2015
2009-07-08,5.55391465384725,2015
2009-07-09,4.54411198951138,2015
2009-07-10,4.54411198951138,2015
2009-07-11,4.03921065734345,2015
2009-07-12,5.04901332167931,2015
2009-07-13,6.05881598601518,2015
2009-07-14,5.55391465384725,2015
2009-07-15,7.32106931643501,2015
2009-07-16,5.30146398776328,2015
2009-07-17,7.82597064860294,2015
2009-07-18,6.05881598601518,2015
2009-07-19,6.05881598601518,2015
2009-07-20,5.80636531993121,2015
2009-07-21,6.31126665209914,2015
2009-07-22,5.55391465384725,2015
2009-07-23,4.29166132342742,2015
2009-07-24,4.29166132342742,2015
2009-07-25,3.78675999125949,2015
2009-07-26,4.03921065734345,2015
2009-07-27,5.80636531993121,2015
2009-07-28,10.0980266433586,2015
2009-07-29,8.8357733129388,2015
2009-07-30,4.03921065734345,2015
2009-07-31,6.31126665209914,2015
2009-08-01,4.29166132342742,2015
2009-08-02,5.30146398776328,2015
2009-08-03,5.80636531993121,2015
2009-08-04,5.55391465384725,2015
2009-08-05,4.29166132342742,2015
2009-08-06,5.04901332167931,2015
2009-08-07,4.54411198951138,2015
2009-08-08,4.79656265559535,2015
2009-08-09,3.53430932517552,2015
2009-08-10,4.54411198951138,2015
2009-08-11,5.04901332167931,2015
2009-08-12,8.33087198077087,2015
2009-08-13,4.79656265559535,2015
2009-08-14,6.56371731818311,2015
2009-08-15,4.54411198951138,2015
2009-08-16,8.33087198077087,2015
2009-08-17,5.80636531993121,2015
2009-08-18,5.30146398776328,2015
2009-08-19,4.79656265559535,2015
2009-08-20,4.54411198951138,2015
2009-08-21,4.54411198951138,2015
2009-08-22,6.31126665209914,2015
2009-08-23,5.55391465384725,2015
2009-08-24,4.79656265559535,2015
2009-08-25,6.05881598601518,2015
2009-08-26,5.55391465384725,2015
2009-08-27,5.04901332167931,2015
2009-08-28,5.30146398776328,2015
2009-08-29,4.03921065734345,2015
2009-08-30,4.03921065734345,2015
2009-08-31,5.80636531993121,2015
2009-09-01,4.54411198951138,2015
2009-09-02,5.80636531993121,2015
2009-09-03,6.05881598601518,2015
2009-09-04,5.30146398776328,2015
2009-09-05,6.05881598601518,2015
